date ID ChamEvts Chambers CHAM ML MZ TB badT0 #DeltaT0 #DeltaT0Err T0slope T0slopeErr Tmax TmaxErr ADC ADCErr ADCwidth ADCwidthErr
units X        x        x    x  x  x  x  [ns] [ns]   x    [ns]          x [ns]       x [ns]     x     [ns]           x
min   0        0        0    0  0  0  0     0  0     0       1          0  730       0 125      0       30           0
max   0        0     1170  100 100 100 1   10  0     0       3          0  765       0 145      0       40           0
norm  0        0        0    0  0  0  0     0  0     0       0          0    0       0   0      0        0           0
20120408  RM713 241674 1011  1.01 37.51 57.23  0.00000  4.25 0.000 0.004 2.257 0.002 744.470 0.011 134.833 0.001 34.553 0.001
20120411  RM701  39109  912 20.49 68.64  4.38  0.00000  6.49 0.158 0.009 2.299 0.004 739.008 0.028 134.206 0.006 34.117 0.005
20120412  RM703  31301  792 32.83 57.78  2.36  0.00000  7.03 0.125 0.010 2.290 0.005 739.130 0.034 134.099 0.008 34.037 0.006
20120412  RM704  35394  854 25.83 63.96  3.33  0.00000  6.87 0.170 0.009 2.292 0.005 739.086 0.031 134.161 0.007 34.092 0.006
20120413  RM708  36487  829 26.76 62.24  3.88  0.00000  7.13 0.171 0.009 2.278 0.005 746.541 0.031 133.970 0.007 34.051 0.006
20120414  RM709  36159  826 26.49 62.71  3.67  0.00000  7.12 0.150 0.009 2.286 0.005 746.414 0.032 133.980 0.007 34.055 0.006
20120415  RM714  33958  761 33.00 56.41  3.10  0.00000  7.48 0.209 0.010 2.276 0.005 746.763 0.034 134.096 0.008 34.073 0.006
20120418  RM716  30027  751 37.75 52.53  2.02  0.00000  7.70 0.096 0.011 2.270 0.005 747.203 0.036 134.192 0.008 34.011 0.007
20120419  RM717  29024  745 40.66 50.01  1.81  0.00000  7.52 0.081 0.011 2.282 0.005 746.886 0.037 134.262 0.009 34.014 0.007
20120419  RM718  27177  595 43.30 47.07  1.67  0.00000  7.95 0.081 0.012 2.253 0.006 747.561 0.042 134.371 0.010 34.031 0.008
20120502  RM725  36618  939 21.52 69.91  2.27  0.00000  6.30 -0.076 0.009 2.305 0.004 746.477 0.029 133.384 0.007 33.851 0.005
20120502  RM726  33177  877 25.99 65.09  2.00  0.00000  6.91 0.061 0.010 2.288 0.005 747.249 0.032 133.334 0.007 33.799 0.006
20120503  RM727  16653  321 69.95 22.64  0.00  0.00000  7.41 0.044 0.022 2.349 0.011 749.456 0.074 132.880 0.019 33.387 0.016
20120503  RM728  83327  978  7.58 69.61 19.20  0.00000  3.61 -0.026 0.006 2.324 0.003 747.011 0.019 132.215 0.003 33.860 0.003
20120506  RM729  41641  879 22.60 70.53  3.10  0.00000  3.77 -0.104 0.009 2.332 0.004 748.663 0.029 132.745 0.006 33.768 0.005
20120506  RM730  24450  586 46.75 48.70  0.14  0.00000  4.41 0.018 0.013 2.315 0.007 749.488 0.045 132.836 0.011 33.594 0.009
20120507  RM731  47833  893 19.59 71.82  5.00  0.00000  3.60 -0.033 0.008 2.322 0.004 748.597 0.027 132.576 0.005 33.845 0.004
20120507  RM732  92902  984  6.90 66.42 22.95  0.00000  3.72 0.156 0.006 2.312 0.003 748.040 0.018 132.230 0.003 33.892 0.002
20120510 UM2271  33724  809 29.96 64.77  1.37  0.00000  3.90 0.061 0.010 2.325 0.005 749.450 0.033 132.712 0.007 33.705 0.006
20120511  RM733  31802  704 33.76 61.39  0.79  0.00000  4.06 0.009 0.011 2.320 0.005 750.560 0.037 132.665 0.008 33.685 0.007
20120512 UM2277  68622  935 12.95 69.43 13.92  0.00000  3.70 0.079 0.007 2.315 0.003 749.350 0.022 132.088 0.004 33.800 0.003
20120513  RM734  69041  932 12.94 69.12 14.18  0.00000  3.75 0.026 0.007 2.316 0.003 749.526 0.022 131.832 0.004 33.728 0.003
20120513  RM735  67312  923 13.57 69.05 13.71  0.00000  3.68 -0.013 0.007 2.323 0.003 749.559 0.022 132.002 0.004 33.793 0.003
20120513  RM736  72220  940 12.76 67.95 15.59  0.00000  3.70 -0.030 0.007 2.317 0.003 749.416 0.021 132.008 0.004 33.818 0.003
20120514  RM737  81318  937 11.96 64.95 19.33  0.00000  3.76 0.101 0.007 2.311 0.003 749.529 0.020 132.095 0.003 33.868 0.003
20120515  RM738  70565  932 13.44 67.65 15.12  0.00000  3.79 0.126 0.007 2.314 0.003 749.453 0.022 132.045 0.004 33.827 0.003
20120515  RM739  47652  775 22.84 67.33  5.76  0.00000  4.07 0.152 0.009 2.320 0.004 750.527 0.029 132.316 0.006 33.866 0.005
20120515 UM2288  42320  781 25.68 66.33  3.90  0.00000  4.10 0.126 0.009 2.319 0.004 750.356 0.030 132.665 0.006 33.857 0.005
20120517  RM740  70775  889 14.10 66.29 15.72  0.00000  3.89 0.143 0.007 2.306 0.003 749.827 0.022 131.991 0.004 33.839 0.003
20120518  RM741  69498  873 14.42 66.33 15.41  0.00000  3.84 0.045 0.007 2.313 0.003 749.890 0.023 131.924 0.004 33.790 0.003
20120519  RM742  75042  885 13.94 64.63 17.53  0.00000  3.90 0.018 0.007 2.306 0.003 749.930 0.021 131.824 0.003 33.777 0.003
20120520  RM743  75052  913 13.01 65.89 17.30  0.00000  3.80 -0.049 0.007 2.310 0.003 749.724 0.021 131.818 0.003 33.792 0.003
20120521  RM744  92132  934 11.02 61.70 23.50  0.00000  3.78 -0.076 0.006 2.300 0.003 749.802 0.019 131.991 0.003 33.890 0.002
20120521  RM746  74648  885 13.74 65.15 17.34  0.00000  3.77 0.184 0.007 2.309 0.003 750.199 0.022 131.747 0.003 33.750 0.003
20120522  RM745 130385 1004  4.24 55.71 36.37  0.00000  3.68 0.207 0.005 2.285 0.002 748.704 0.015 132.258 0.002 33.924 0.002
20120523 UM2312  57050  838 19.70 66.28 10.12  0.00000  3.90 0.072 0.008 2.310 0.004 750.543 0.025 131.784 0.005 33.684 0.004
20120523 UM2313  26272  476 43.47 50.62  0.02  0.00000  5.89 0.048 0.014 2.305 0.007 752.183 0.049 132.385 0.011 33.555 0.009
